id,group_name,symbol,option_name,created_at,expiry,instrument_token,basket_id,mode
3955,G10,ASIANPAINT,ASIANPAINT25DEC2900CE,2025-12-04 10:51:19,2025-12-30,16706306,42,MAN
3956,G10,ASIANPAINT,ASIANPAINT25DEC2920CE,2025-12-04 10:51:19,2025-12-30,18898690,42,MAN
3957,G10,ASIANPAINT,ASIANPAINT25DEC2940CE,2025-12-04 10:51:19,2025-12-30,16706818,42,MAN
3958,G10,ASIANPAINT,ASIANPAINT25DEC2960CE,2025-12-04 10:51:19,2025-12-30,18899202,42,MAN
3959,G10,ASIANPAINT,ASIANPAINT25DEC2980CE,2025-12-04 10:51:19,2025-12-30,16708354,42,MAN
3960,G10,ASIANPAINT,ASIANPAINT25DEC3000CE,2025-12-04 10:51:19,2025-12-30,18899714,42,MAN
3961,G10,ASIANPAINT,ASIANPAINT25DEC3020CE,2025-12-04 10:51:19,2025-12-30,16710402,42,MAN
3962,G10,ASIANPAINT,ASIANPAINT25DEC3040CE,2025-12-04 10:51:19,2025-12-30,18900226,42,MAN
3963,G10,ASIANPAINT,ASIANPAINT25DEC3060CE,2025-12-04 10:51:19,2025-12-30,16710914,42,MAN
3964,G10,ASIANPAINT,ASIANPAINT25DEC3080CE,2025-12-04 10:51:19,2025-12-30,9089026,42,MAN
3965,G10,ASIANPAINT,ASIANPAINT25DEC3100CE,2025-12-04 10:51:19,2025-12-30,16711426,42,MAN
3966,G10,ASIANPAINT,ASIANPAINT25DEC2900PE,2025-12-04 10:51:19,2025-12-30,16706562,42,MAN
3967,G10,ASIANPAINT,ASIANPAINT25DEC2920PE,2025-12-04 10:51:19,2025-12-30,18898946,42,MAN
3968,G10,ASIANPAINT,ASIANPAINT25DEC2940PE,2025-12-04 10:51:19,2025-12-30,16708098,42,MAN
3969,G10,ASIANPAINT,ASIANPAINT25DEC2960PE,2025-12-04 10:51:19,2025-12-30,18899458,42,MAN
3970,G10,ASIANPAINT,ASIANPAINT25DEC2980PE,2025-12-04 10:51:19,2025-12-30,16710146,42,MAN
3971,G10,ASIANPAINT,ASIANPAINT25DEC3000PE,2025-12-04 10:51:19,2025-12-30,18899970,42,MAN
3972,G10,ASIANPAINT,ASIANPAINT25DEC3020PE,2025-12-04 10:51:19,2025-12-30,16710658,42,MAN
3973,G10,ASIANPAINT,ASIANPAINT25DEC3040PE,2025-12-04 10:51:19,2025-12-30,18900482,42,MAN
3974,G10,ASIANPAINT,ASIANPAINT25DEC3060PE,2025-12-04 10:51:19,2025-12-30,16711170,42,MAN
3975,G10,ASIANPAINT,ASIANPAINT25DEC3100PE,2025-12-04 10:51:19,2025-12-30,16711682,42,MAN
3976,G10,ASIANPAINT,ASIANPAINT25DECFUT,2025-12-04 10:51:19,2025-12-30,12694786,42,MAN
3977,G10,DMART,DMART25DEC4050CE,2025-12-04 10:52:01,2025-12-30,21746178,42,MAN
3978,G10,DMART,DMART25DEC4100CE,2025-12-04 10:52:01,2025-12-30,24724738,42,MAN
3979,G10,DMART,DMART25DEC4150CE,2025-12-04 10:52:01,2025-12-30,21746690,42,MAN
3980,G10,DMART,DMART25DEC4200CE,2025-12-04 10:52:01,2025-12-30,24725762,42,MAN
3981,G10,DMART,DMART25DEC4250CE,2025-12-04 10:52:01,2025-12-30,21749250,42,MAN
3982,G10,DMART,DMART25DEC4300CE,2025-12-04 10:52:01,2025-12-30,24726530,42,MAN
3983,G10,DMART,DMART25DEC4350CE,2025-12-04 10:52:01,2025-12-30,21753090,42,MAN
3984,G10,DMART,DMART25DEC4100PE,2025-12-04 10:52:01,2025-12-30,24725506,42,MAN
3985,G10,DMART,DMART25DEC4500PE,2025-12-04 10:52:01,2025-12-30,24730882,42,MAN
3986,G10,DMART,DMART25DECFUT,2025-12-04 10:52:01,2025-12-30,12723202,42,MAN
3999,G10,360ONE,360ONE26JAN880CE,2026-01-03 01:38:08,2026-01-27,15616514,42,MAN
4000,G10,360ONE,360ONE26JAN960CE,2026-01-03 01:38:08,2026-01-27,15630850,42,MAN
4001,G10,360ONE,360ONE26JANFUT,2026-01-03 01:38:08,2026-01-27,12604162,42,MAN
4002,G10,ASHOKLEY,ASHOKLEY26JAN120CE,2026-01-03 01:39:58,2026-01-27,16577538,42,MAN
4003,G10,ASHOKLEY,ASHOKLEY26JAN124CE,2026-01-03 01:39:58,2026-01-27,16578818,42,MAN
4004,G10,ASHOKLEY,ASHOKLEY26JANFUT,2026-01-03 01:39:58,2026-01-27,12612866,42,MAN
4005,G10,ASHOKLEY,ASHOKLEY26FEBFUT,2026-01-03 01:39:58,2026-02-24,15157506,42,MAN
4006,G8 C ,BAJFINANCE,BAJFINANCE26JAN820CE,2026-01-03 16:03:50,2026-01-27,17524482,43,MAN
4007,G10,ASIANPAINT,ASIANPAINT26JAN2400CE,2026-01-06 01:24:29,2026-01-27,16737026,42,MAN
4008,G10,ASIANPAINT,ASIANPAINT26JANFUT,2026-01-06 01:24:29,2026-01-27,12613122,42,MAN
4009,G8 C ,BOSCHLTD,BOSCHLTD26JAN39500CE,2026-01-09 15:02:35,2026-01-27,20781570,43,MAN
4010,G8 C ,BOSCHLTD,BOSCHLTD26JAN40250CE,2026-01-09 15:02:35,2026-01-27,20541698,43,MAN
4011,G8 C ,BOSCHLTD,BOSCHLTD26JAN41000CE,2026-01-09 15:02:35,2026-01-27,18798338,43,MAN
4012,G8 C ,BOSCHLTD,BOSCHLTD26JAN36500PE,2026-01-09 15:02:35,2026-01-27,20779778,43,MAN
4013,G8 C ,BOSCHLTD,BOSCHLTD26JANFUT,2026-01-09 15:02:35,2026-01-27,12626946,43,MAN
4014,G8 C ,BOSCHLTD,BOSCHLTD26JAN40250CE,2026-01-09 15:21:00,2026-01-27,20541698,43,MAN
4023,New_group,ADANIENT,ADANIENT26JAN1800CE,2026-01-12 20:48:36,2026-01-27,14346242,44,MAN
4024,New_group,ADANIENT,ADANIENT26JAN1840CE,2026-01-12 20:48:36,2026-01-27,14346754,44,MAN
4026,New_group,ADANIENT,ADANIENT26FEBFUT,2026-01-12 20:48:36,2026-02-24,15153666,44,MAN
